"mandal","f","wald","alc","alc.mbl","acc","acc.mbl","woc","woc.mbl"
"A.Konduru",0.373,361,320,325,327,332,370,377
"Achanta",0.338,345,295,297,311,313,371,374
"Addanki",0.83,218,215,229,230,246,296,314
"Addateegala",0.306,328,278,279,300,302,371,373
"Adoni",0.542,383,341,364,342,364,356,380
"Agali",0.626,361,305,308,318,320,372,375
"Agiripalle",0.489,385,339,346,342,349,370,379
"Ainavilli",0.53,384,341,349,343,352,369,379
"Akividu",0.248,288,276,281,294,299,364,370
"Alamuru",0.37,360,308,310,319,322,372,376
"Allagadda",0.443,381,339,362,339,363,355,380
"Allavaram",0.301,325,292,294,308,311,370,374
"Allur",0.969,48,84,104,112,134,166,188
"Alur",0.385,365,323,350,324,352,348,378
"Amadagur",0.978,35,136,145,178,188,262,272
"Amadalavalasa",0.581,376,334,341,337,345,369,378
"Amalapuram",0.426,377,320,323,328,331,372,377
"Amarapuram",0.728,306,286,294,297,306,359,369
"Amaravathi",0.92,114,118,140,136,162,187,216
"Ambajipeta",0.002,4,118,128,162,172,243,253
"Amruthalur",0.174,223,214,231,227,246,289,310
"Anakapalle",0.402,371,272,272,297,297,371,372
"Anantapur",0.66,346,312,318,320,326,368,376
"Ananthasagaram",0.987,21,70,91,100,122,148,171
"Anaparthy",0,1,158,164,207,213,309,314
"Anumasamudrampeta",0.89,152,175,186,199,213,273,287
"Araku Valley",0.517,385,302,303,316,317,373,375
"Ardhaveedu",0.639,356,322,334,326,338,363,377
"Aspari",0.248,288,267,283,275,292,331,351
"Atchampet",0.507,386,342,351,344,353,369,379
"Atlur",0.853,194,212,221,236,246,317,327
"Atmakur",0.958,63,66,96,83,118,125,160
"Atreyapuram",0.03,46,205,208,250,253,352,354
"Attili",0.505,386,328,332,334,338,372,378
"Avanigadda",0.282,312,278,279,300,302,370,373
"B.Kodur",0.714,316,279,280,301,302,370,373
"B_Kothakota",0.425,377,338,349,340,351,366,379
"Badangi",0.631,359,323,331,328,337,367,377
"Badvel",0.585,374,337,350,339,352,364,379
"Baireddipalle",0.577,377,333,340,337,344,370,378
"Balayapalle",0.812,236,247,252,269,276,351,358
"Balijipeta",0.666,343,312,320,319,327,366,376
"Ballikurava",0.638,356,321,328,326,335,368,377
"Banaganapalle",0.334,343,310,328,314,332,353,373
"Bandi Atmakur",0.475,385,344,356,345,357,366,380
"Bangarupalem",0.267,302,284,291,297,305,361,369
"Bantumilli",0.783,263,244,244,280,280,367,368
"Bapatla",0.559,380,340,361,341,362,357,380
"Bapulapadu",0.27,304,284,294,294,305,355,366
"Bathalapalle",0.997,6,98,111,139,152,206,221
"Bellamkonda",0.757,284,274,279,291,297,362,369
