"mandal","lambda","freq","alc","alc.mbl","acc","acc.mbl","woc","woc.mbl"
"A.Konduru",0.85,452,475,476,488,489,573,580
"Achanta",0.67,574,603,604,620,624,728,733
"Addanki",1.29,297,313,314,321,324,376,383
"Addateegala",1.73,222,234,235,240,243,281,288
"Adoni",0.86,449,472,473,485,488,569,575
"Agali",3.21,120,127,128,130,133,151,158
"Agiripalle",1.39,278,292,293,300,304,351,358
"Ainavilli",1.97,195,206,207,211,214,247,253
"Akividu",2.5,154,162,163,166,169,194,201
"Alamuru",1.63,236,248,250,255,258,298,304
"Allagadda",0.75,515,541,542,556,559,653,660
"Allavaram",2.77,139,147,148,150,152,175,182
"Allur",1.89,203,214,215,220,222,257,263
"Alur",1.47,262,276,277,283,286,332,339
"Amadagur",1.74,222,234,235,240,242,280,287
"Amadalavalasa",2.4,161,169,170,173,176,202,209
"Amalapuram",1.8,214,225,226,231,233,270,276
"Amarapuram",3.47,111,117,119,120,123,140,146
"Amaravathi",1.38,279,293,295,301,304,353,360
"Ambajipeta",6.13,63,67,68,68,71,79,85
"Amruthalur",4.05,95,101,102,103,105,119,126
"Anakapalle",5.32,73,77,78,78,81,91,97
"Anantapur",2.97,130,137,138,140,143,163,170
"Ananthasagaram",2.08,185,195,196,200,202,234,240
"Anaparthy",13.38,29,31,33,32,34,36,41
"Anumasamudrampeta",1.24,310,326,327,335,336,392,399
"Araku Valley",1.77,218,229,231,235,238,275,282
"Ardhaveedu",0.81,475,499,500,513,515,603,610
"Aspari",4.11,94,99,101,102,104,118,124
"Atchampet",0.94,408,429,430,441,443,517,524
"Atlur",7.83,50,53,54,53,56,61,68
"Atmakur",0.71,539,566,567,582,586,683,690
"Atreyapuram",5.52,70,74,75,76,79,87,93
"Attili",2.89,133,141,142,144,147,168,175
"Avanigadda",4.88,79,84,85,85,88,99,105
"B.Kodur",5.52,70,74,75,76,79,87,93
"B_Kothakota",2.06,187,197,198,202,204,235,242
"Badangi",2.3,167,176,178,181,183,211,219
"Badvel",3.4,114,120,121,123,125,143,149
"Baireddipalle",4.83,80,85,86,86,89,100,106
"Balayapalle",1.06,362,380,381,391,394,458,467
"Balijipeta",5.58,69,73,75,75,77,86,92
"Ballikurava",1.16,332,349,350,359,363,421,427
"Banaganapalle",1.17,329,346,347,355,358,416,424
"Bandi Atmakur",0.59,649,682,683,701,705,824,831
"Bangarupalem",3.58,108,114,115,116,119,135,142
"Bantumilli",6.29,62,65,66,66,70,77,83
"Bapatla",1.63,236,249,250,255,259,299,305
"Bapulapadu",4.41,88,93,94,95,97,110,117
"Bathalapalle",1.56,246,259,260,266,269,311,317
