"district","n","mu","var","f"
"A.Konduru",695,0.0206559067834811,1.17562916269004,0.372661870503597
"Achanta",296,0.103978317552536,1.49189245936241,0.337837837837838
"Addanki",1457,-0.900590177743756,0.772582735992006,0.830473575840769
"Addateegala",170,0.0896071827603697,0.577104069836644,0.305882352941176
"Adoni",2426,-0.291268196651636,1.16781685248863,0.54204451772465
"Agali",356,-0.239354003447401,0.312005589445653,0.626404494382023
"Agiripalle",875,-0.221640496004394,0.721716415444345,0.489142857142857
"Ainavilli",1033,-0.110327001268378,0.507154275871323,0.530493707647628
"Akividu",561,0.234935296291742,0.399438187678788,0.24777183600713
"Alamuru",403,0.241590834346046,0.613173114562984,0.369727047146402
"Allagadda",2536,0.0856128782079396,1.33902161910953,0.44282334384858
"Allavaram",379,-0.039846159231153,0.360536762424164,0.300791556728232
"Allur",1380,-1.25086757855156,0.528199099651866,0.968840579710145
"Alur",2917,-0.00386818671602739,0.681730758416504,0.384984573191635
"Amadagur",589,-1.36246603010119,0.576309732138504,0.977928692699491
"Amadalavalasa",938,-0.254806162007882,0.416818343242293,0.581023454157783
"Amalapuram",465,-0.181997672278275,0.554858731421221,0.425806451612903
"Amarapuram",938,-0.317985416260619,0.288462408817211,0.728144989339019
"Amaravathi",2027,-1.04454039752967,0.724805587407802,0.920078934385792
"Ambajipeta",597,1.09869108238396,0.163190731936471,0.0016750418760469
"Amruthalur",1721,0.328797337373147,0.246846301777842,0.174317257408483
"Anakapalle",102,0.0599997030469992,0.187959087306357,0.401960784313726
"Anantapur",751,-0.328092886758866,0.336716089394015,0.660452729693742
"Ananthasagaram",1248,-1.96896109618986,0.481461769988452,0.987179487179487
"Anaparthy",366,1.16694392180454,0.0747520075149408,0
"Anumasamudrampeta",1092,-1.1945459648804,0.80528371992484,0.89010989010989
"Araku Valley",242,-0.149726334307443,0.566152043801617,0.516528925619835
"Ardhaveedu",1366,-0.560612719491745,1.23593185695226,0.63909224011713
"Aspari",1719,0.123440910173449,0.243550432693429,0.248400232693426
"Atchampet",1052,-0.254475406358907,1.06122589609439,0.506653992395437
"Atlur",866,-0.424553989320362,0.127692007995298,0.853348729792148
"Atmakur",2334,-1.51823627878343,1.40103153218533,0.958011996572408
"Atreyapuram",233,0.825686015291451,0.181110673957209,0.0300429184549356
"Attili",543,-0.193538004267496,0.346166972922478,0.504604051565378
"Avanigadda",206,0.034130565275679,0.204810865379776,0.281553398058252
"B.Kodur",206,-0.419381530610361,0.181153810296908,0.713592233009709
"B_Kothakota",1289,-0.087393940519059,0.484555990361422,0.425135764158262
"Badangi",982,-0.374662141257437,0.434659280052911,0.631364562118126
"Badvel",1538,-0.2308771386618,0.294447738642732,0.5851755526658
"Baireddipalle",877,-0.162448490526728,0.207009867662956,0.576966932725199
"Balayapalle",612,-0.99076269930537,0.94033233710186,0.812091503267974
"Balijipeta",954,-0.241849806839194,0.179196098011698,0.665618448637317
"Ballikurava",945,-0.434146076355618,0.863421507091674,0.638095238095238
"Banaganapalle",1975,0.150001049954258,0.85491349191673,0.334177215189873
"Bandi Atmakur",1368,-0.0158505610596742,1.68790452649504,0.475146198830409
"Bangarupalem",838,0.134544086046379,0.279027769190086,0.267303102625298
"Bantumilli",23,-0.0547610878432226,0.158911116311268,0.782608695652174
"Bapatla",2290,-0.360691881745909,0.614223122175383,0.558515283842795
"Bapulapadu",1123,0.163012341866079,0.226969067654579,0.269813000890472
"Bathalapalle",760,-1.76409207528746,0.639326207966053,0.997368421052632
"Bellamkonda",613,-0.519979415771151,0.499026811852722,0.756933115823817
"Beluguppa",1037,-0.265510573879891,0.228903392742281,0.65380906460945
"Bestawaripeta",1357,-1.3309899359675,0.782370430237145,0.944731024318349
"Bethamcherla",1683,-1.40892265567593,0.661203821925869,0.985739750445633
"Bhamini",1116,0.13774039953618,0.290488127166557,0.300179211469534
"Bhattiprolu",898,0.0527283052257167,0.500059648618446,0.365256124721604
"Bhimadole",476,0.222371523448821,0.836840131407069,0.388655462184874
"Bhimavaram",331,0.332606204901994,0.794166378575507,0.274924471299094
"Bhogapuram",562,-0.462084886588767,0.261148674831555,0.768683274021352
"Biccavolu",612,0.0845731482458807,0.374826889717179,0.369281045751634
"Bobbili",1901,-0.776092547088164,0.578010529522763,0.905312993161494
"Bogole",837,-0.681154278181749,0.618416587151071,0.813620071684588
"Bollapalle",696,-0.837600625224987,0.591186299676334,0.905172413793103
"Bommanahal",1038,-0.145333992159923,0.288735116883056,0.673410404624277
